image,label
ISIC_0025987,0
ISIC_0064019,2
ISIC_0072916,2
ISIC_0055812,2
ISIC_0060382,2
ISIC_0012258_downsampled,0
ISIC_0055161,0
ISIC_0031203,0
ISIC_0072461,2
ISIC_0033499,2
ISIC_0060643,2
ISIC_0063131,0
ISIC_0054817,2
ISIC_0056372,2
ISIC_0071245,0
ISIC_0012512_downsampled,0
ISIC_0055891,2
ISIC_0027065,0
ISIC_0026516,0
ISIC_0070053,2
ISIC_0001106_downsampled,0
ISIC_0064962,2
ISIC_0068637,2
ISIC_0072237,2
ISIC_0054658,2
ISIC_0057180,0
ISIC_0063529,2
ISIC_0069481,0
ISIC_0066564,0
ISIC_0060310,2
ISIC_0014337_downsampled,0
ISIC_0062734,0
ISIC_0032036,0
ISIC_0054846,0
ISIC_0053816,0
ISIC_0067380,2
ISIC_0054854,2
ISIC_0072505,2
ISIC_0013573_downsampled,0
ISIC_0056942,2
ISIC_0054112,0
ISIC_0068119,0
ISIC_0060937,0
ISIC_0072515,2
ISIC_0026045,0
ISIC_0029397,0
ISIC_0066844,0
ISIC_0054385,0
ISIC_0014110_downsampled,0
ISIC_0014249_downsampled,0
ISIC_0072951,2
ISIC_0057973,0
ISIC_0062984,2
ISIC_0056226,0
ISIC_0071950,0
ISIC_0072099,0
ISIC_0033980,0
ISIC_0060542,2
ISIC_0034012,0
ISIC_0030145,2
ISIC_0073002,2
ISIC_0065440,2
ISIC_0069272,2
ISIC_0032509,0
ISIC_0026892,0
ISIC_0034076,0
ISIC_0054070,0
ISIC_0026458,0
ISIC_0059631,0
ISIC_0027819,2
ISIC_0063793,0
ISIC_0061320,0
ISIC_0027517,0
ISIC_0058670,2
ISIC_0025433,2
ISIC_0072480,2
ISIC_0024864,0
ISIC_0057558,0
ISIC_0034183,0
ISIC_0024457,2
ISIC_0028764,0
ISIC_0028198,0
ISIC_0053699,0
ISIC_0072001,0
ISIC_0068906,2
ISIC_0032672,0
ISIC_0070072,2
ISIC_0063534,2
ISIC_0053976,2
ISIC_0065856,2
ISIC_0068659,2
ISIC_0065877,2
ISIC_0058059,0
ISIC_0054133,2
ISIC_0070751,2
ISIC_0010350,0
ISIC_0067357,2
ISIC_0026738,0
ISIC_0056063,0
ISIC_0032727,2
ISIC_0066799,2
ISIC_0054445,0
