image,label
ISIC_0060310,2
ISIC_0066634,4
ISIC_0062616,1
ISIC_0053771,2
ISIC_0026895,4
ISIC_0058860,2
ISIC_0059686,0
ISIC_0025041,1
ISIC_0026803,4
ISIC_0065307,0
ISIC_0070489,0
ISIC_0030127,1
ISIC_0059546,2
ISIC_0062020,1
ISIC_0060567,4
ISIC_0057298,4
ISIC_0067074,1
ISIC_0070816,0
ISIC_0012512_downsampled,0
ISIC_0031896,1
ISIC_0072564,0
ISIC_0033636,0
ISIC_0066203,0
ISIC_0056374,2
ISIC_0070230,4
ISIC_0025005,4
ISIC_0061686,0
ISIC_0067648,1
ISIC_0065977,1
ISIC_0070775,4
ISIC_0012170_downsampled,4
ISIC_0029040,4
ISIC_0025968,1
ISIC_0026783,4
ISIC_0066777,4
ISIC_0063792,0
ISIC_0012136_downsampled,4
ISIC_0069487,4
ISIC_0057801,2
ISIC_0057028,1
ISIC_0027187,0
ISIC_0024999,0
ISIC_0032883,4
ISIC_0070463,0
ISIC_0061098,4
ISIC_0027203,1
ISIC_0068783,2
ISIC_0055161,0
ISIC_0033184,4
ISIC_0057127,4
ISIC_0034221,4
ISIC_0033585,1
ISIC_0067449,1
ISIC_0014647_downsampled,4
ISIC_0063033,2
ISIC_0063845,0
ISIC_0069675,4
ISIC_0065648,2
ISIC_0058050,0
ISIC_0053522,4
ISIC_0031206,1
ISIC_0061450,2
ISIC_0071384,2
ISIC_0033638,0
ISIC_0063311,4
ISIC_0055059,2
ISIC_0027318,1
ISIC_0065629,4
ISIC_0032718,0
ISIC_0014657_downsampled,1
ISIC_0069978,4
ISIC_0031945,4
ISIC_0071366,2
ISIC_0057916,2
ISIC_0072852,2
ISIC_0030316,4
ISIC_0025274,1
ISIC_0013497_downsampled,0
ISIC_0012299_downsampled,4
ISIC_0026665,1
ISIC_0014642_downsampled,4
ISIC_0011102,1
ISIC_0057574,2
ISIC_0031072,1
ISIC_0031263,2
ISIC_0070642,2
ISIC_0067611,4
ISIC_0065207,2
ISIC_0065195,0
ISIC_0028165,4
ISIC_0067338,1
ISIC_0025183,1
ISIC_0000166,0
ISIC_0060627,2
ISIC_0061438,2
ISIC_0034216,0
ISIC_0072380,0
ISIC_0028551,1
ISIC_0069799,2
ISIC_0061363,2
ISIC_0053960,0
ISIC_0029044,1
ISIC_0014249_downsampled,0
ISIC_0066666,0
ISIC_0071583,0
ISIC_0032869,0
ISIC_0026751,1
ISIC_0013713_downsampled,1
ISIC_0061158,0
ISIC_0066137,2
ISIC_0062105,2
ISIC_0027492,1
ISIC_0031753,4
ISIC_0010190,1
ISIC_0053660,0
ISIC_0054112,0
ISIC_0072433,2
ISIC_0069569,1
ISIC_0066952,0
ISIC_0033758,4
ISIC_0067674,2
ISIC_0016042_downsampled,1
ISIC_0072583,2
ISIC_0025064,4
ISIC_0054756,0
ISIC_0066046,4
ISIC_0065517,1
ISIC_0067620,4
ISIC_0013632_downsampled,4
ISIC_0024454,2
ISIC_0000418_downsampled,1
ISIC_0027355,4
ISIC_0066407,0
ISIC_0033862,1
ISIC_0058415,2
ISIC_0070236,2
ISIC_0055647,2
ISIC_0070227,0
ISIC_0029213,4
ISIC_0064810,4
ISIC_0033152,0
ISIC_0064354,2
ISIC_0033629,4
ISIC_0067487,0
ISIC_0031675,1
ISIC_0028124,4
ISIC_0062748,1
ISIC_0025971,2
ISIC_0058660,0
ISIC_0065344,4
ISIC_0062108,2
ISIC_0025391,0
ISIC_0058561,1
ISIC_0026161,1
ISIC_0032917,0
ISIC_0003559_downsampled,1
ISIC_0059914,2
ISIC_0059544,4
ISIC_0060560,4
ISIC_0031017,4
ISIC_0025360,1
ISIC_0026416,4
ISIC_0026814,1
ISIC_0068273,0
ISIC_0067341,2
ISIC_0025758,4
ISIC_0065525,0
ISIC_0058959,0
ISIC_0024473,1
ISIC_0071377,2
ISIC_0060927,2
ISIC_0030394,4
ISIC_0025434,4
ISIC_0032382,4
ISIC_0013986_downsampled,0
ISIC_0059755,2
ISIC_0032980,1
ISIC_0012400_downsampled,1
ISIC_0069620,0
ISIC_0058065,2
